v1;v2
Faltas;Un profesor muestra favoritismo hacia ciertos estudiantes en clase, ignorando las contribuciones y esfuerzos de otros, lo que genera resentimiento y animosidad entre los estudiantes.
Faltas;Un estudiante es excluido de un proyecto de investigación por su discapacidad, siendo discriminado y menospreciado por sus compañeros y profesores.
Faltas;Un grupo de estudiantes vandaliza la propiedad personal de otro estudiante, causando daños y dejando mensajes amenazantes, lo que provoca miedo y ansiedad en el estudiante afectado.
Faltas;Un estudiante es objeto de intimidación por parte de un grupo de compañeros debido a su condición socioeconómica, siendo excluido de actividades y eventos sociales.
Faltas;Un profesor utiliza comentarios sarcásticos y humillantes hacia un estudiante en clase, creando un ambiente de hostilidad y desprecio.
Faltas;Un estudiante es acosado por su condición de salud mental, siendo objeto de burlas y discriminación por parte de sus compañeros.
Faltas;Un grupo de estudiantes realiza bromas pesadas y humillantes en una reunión estudiantil, causando malestar y vergüenza a otro estudiante.
Faltas;Un miembro del personal universitario hace comentarios despectivos sobre la religión de un estudiante, generando un ambiente de exclusión y discriminación.
Faltas;Un grupo de estudiantes crea un perfil falso en redes sociales para difamar a otro estudiante, compartiendo rumores falsos y comentarios ofensivos.
Faltas;Un estudiante es excluido de un grupo de estudio por su orientación sexual, siendo discriminado y marginado por sus compañeros.
Faltas;Un profesor muestra favoritismo hacia ciertos estudiantes en clase, ignorando las contribuciones y esfuerzos de otros, lo que genera resentimiento y animosidad entre los estudiantes.
Faltas;Un estudiante es objeto de amenazas y agresiones verbales por parte de otro estudiante debido a una disputa académica, sintiéndose constantemente intimidado en el campus.
Faltas;Un grupo de estudiantes organiza una protesta en el campus para denunciar el acoso sistemático hacia un compañero, exigiendo medidas de seguridad y protección para todos los estudiantes.
Faltas;Un estudiante es víctima de acoso laboral por parte de un profesor, quien constantemente le asigna tareas injustas y le humilla frente a sus compañeros.
Faltas;Un grupo de estudiantes forma una pandilla en el campus que intimida a otros estudiantes, exigiendo dinero y amenazando con violencia si no cumplen sus demandas.
Faltas;Un estudiante es objeto de acoso por parte de un grupo de profesores que cuestionan constantemente su capacidad intelectual y le menosprecian en clase.
Faltas;Un estudiante es acosado sexualmente por un miembro del personal de mantenimiento en los pasillos de la universidad, sintiéndose vulnerable y asustado.
Faltas;Un grupo de estudiantes excluye a otro estudiante de un proyecto de investigación por motivos discriminatorios, impidiéndole participar y desarrollarse académicamente.
Faltas;Un profesor difunde rumores falsos sobre un estudiante, insinuando que este ha cometido fraude académico, lo que afecta su reputación y bienestar emocional.
Faltas;Un estudiante es acosado por su identidad de género en los vestuarios deportivos, siendo objeto de comentarios despectivos y miradas intimidantes.
Faltas;Un grupo de estudiantes realiza graffiti ofensivo en las paredes de la residencia estudiantil, dirigido a un compañero de clase, causando miedo y ansiedad.
Faltas;Un estudiante es acosado por su condición de discapacidad, siendo objeto de burlas y maltrato por parte de sus compañeros de clase.
Faltas;Un miembro del personal de la universidad hace avances sexuales no deseados hacia un estudiante en una fiesta universitaria, aprovechando su vulnerabilidad y falta de consentimiento.
Faltas;Un estudiante es objeto de intimidación y amenazas por parte de un grupo de compañeros de clase debido a su identidad étnica, creando un ambiente hostil y de exclusión.
Faltas;Un profesor de posgrado discrimina a un estudiante por su orientación sexual, negándole oportunidades de investigación y ridiculizándolo en clase.
Faltas;Un grupo de estudiantes crea un chat en línea para difundir rumores falsos y comentarios ofensivos sobre otro estudiante, afectando su reputación y bienestar emocional.
Faltas;Un estudiante es acosado por su discapacidad física, siendo objeto de burlas y comentarios insensibles por parte de sus compañeros de clase.
Faltas;Un miembro del personal administrativo realiza comentarios sexistas hacia una estudiante, haciendo que se sienta incómoda y menospreciada en el entorno universitario.
Faltas;Un grupo de estudiantes realiza bromas pesadas y humillantes en una actividad extracurricular, haciendo sentir incómodo y excluido a otro estudiante.
Faltas;Un estudiante es excluido de un grupo de investigación por motivos discriminatorios, impidiéndole participar en oportunidades académicas y profesionales.
Faltas;Un profesor hace comentarios inapropiados sobre el cuerpo de una estudiante durante una conferencia, generando un ambiente de incomodidad y desprecio.
Faltas;Un estudiante es acosado por su religión, siendo objeto de insultos y burlas por parte de otros estudiantes en el campus.
Faltas;Un grupo de estudiantes realiza pintadas ofensivas en la puerta de la habitación de otro estudiante, causando daño emocional y psicológico.
Faltas;Un estudiante es constantemente excluido de actividades sociales y académicas por un grupo de compañeros debido a su identidad de género, creando un ambiente de hostilidad y discriminación.
Faltas;Un profesor hace comentarios denigrantes y despectivos hacia un estudiante por su condición socioeconómica durante una clase, generando vergüenza y malestar en el estudiante.
Faltas;Un grupo de estudiantes organiza una campaña en redes sociales para difamar a otro estudiante, compartiendo rumores falsos y humillantes sobre su vida personal.
Faltas;Un estudiante es acosado por su orientación sexual en los vestuarios del gimnasio universitario, siendo objeto de burlas y agresiones verbales por parte de otros estudiantes.
Faltas;Un miembro del personal administrativo utiliza su posición para acosar sexualmente a estudiantes vulnerables, ofreciéndoles favores académicos a cambio de conducta inapropiada.
Faltas;Un grupo de estudiantes realiza actos de vandalismo en el dormitorio de otro estudiante, causando daños materiales y emocionales.
Faltas;Un estudiante es objeto de bullying en línea por parte de un compañero de clase, quien crea perfiles falsos en redes sociales para difamarlo y acosarlo.
Faltas;Un profesor discrimina a un estudiante por su identidad étnica, negándole oportunidades académicas y tratándolo con desprecio en el aula.
Faltas;Un estudiante es excluido de un grupo de investigación por su religión, siendo discriminado y marginado por sus compañeros y profesores.
Faltas;Un grupo de estudiantes realiza pintadas ofensivas en las paredes del campus dirigidas a un grupo estudiantil específico, causando miedo y ansiedad en la comunidad universitaria.
Faltas; Siento que un grupo de compañeros de clase me excluye deliberadamente de actividades sociales y académicas, haciendo comentarios despectivos sobre mi origen étnico.
Faltas;Un profesor hace comentarios humillantes sobre mi apariencia física frente a toda la clase, haciéndome sentir avergonzado y menospreciado.
Faltas; Recibo constantes mensajes de texto amenazantes de un compañero de clase, que afectan mi bienestar emocional y me hacen sentir inseguro en el campus.
Faltas;Un miembro del personal de la universidad hace avances sexuales no deseados hacia mí, aprovechando su posición de autoridad para presionarme a tener relaciones íntimas.
Faltas; Soy objeto de burlas y bromas pesadas en un chat grupal en línea creado por otros estudiantes, lo que me hace sentir excluido y humillado.
Faltas;Un grupo de estudiantes organiza una campaña en redes sociales para difamarme, compartiendo rumores falsos sobre mi vida personal y académica.
Faltas; Me siento intimidado y hostigado por un grupo de compañeros de clase debido a mi orientación sexual, lo que afecta mi capacidad para concentrarme en mis estudios.
Faltas;Un profesor muestra favoritismo hacia ciertos estudiantes en clase, ignorando mis contribuciones y esfuerzos, lo que me hace sentir infravalorado y discriminado.
Faltas; Recibo correos electrónicos anónimos con amenazas de violencia física si continúo expresando mis opiniones políticas en clase, lo que me genera miedo y ansiedad.
Faltas;Un grupo de estudiantes realiza pintadas ofensivas en mi dormitorio, dirigidas a mi identidad de género, lo que me hace sentir inseguro y vulnerable en mi propio espacio.
Faltas; Me encuentro siendo objeto de burlas y ridiculizaciones constantes por parte de un grupo de compañeros de clase debido a mi discapacidad física.
Faltas;Un profesor me hace sentir incómodo al hacer comentarios inapropiados sobre mi género durante las clases, generando un ambiente de hostilidad y discriminación.
Faltas; Recibo mensajes de texto intimidantes y amenazantes de un compañero de clase, afectando mi tranquilidad y seguridad en el campus.
Faltas;Un miembro del personal de la universidad abusa de su autoridad al hacer insinuaciones sexuales no deseadas hacia mí, creando un ambiente de acoso y manipulación.
Faltas; Soy objeto de chistes y comentarios humillantes en un grupo de chat en línea creado por otros estudiantes, lo que me hace sentir excluido y menospreciado.
Faltas;Un grupo de estudiantes difunde rumores falsos sobre mí en las redes sociales, dañando mi reputación y causándome estrés emocional.
Faltas; Me siento acosado y marginado en el campus debido a mi orientación sexual, enfrentando constantes miradas de desprecio y comentarios hirientes.
Faltas;Un profesor muestra favoritismo hacia ciertos alumnos, ignorando mis esfuerzos y contribuciones en clase, lo que me hace sentir invisible y menos valorado.
Faltas; Recibo correos electrónicos anónimos con amenazas de violencia si no abandono mis actividades extracurriculares, generándome ansiedad y temor por mi seguridad.
Faltas; Encuentro pintadas ofensivas y amenazantes dirigidas a mí en los baños de la universidad, creando un ambiente de intimidación y hostilidad.
Faltas; Me siento constantemente excluido de grupos de estudio y actividades académicas por un grupo de compañeros, quienes me ridiculizan por mi origen étnico.
Faltas;Un profesor hace comentarios inapropiados sobre mi apariencia física durante las clases, haciéndome sentir incómodo y menospreciado frente a mis compañeros.
Faltas; Recibo mensajes intimidantes y amenazantes de un compañero de clase a través de las redes sociales, lo que afecta mi bienestar emocional y mi capacidad para concentrarme en mis estudios.
Faltas;Un miembro del personal de la universidad abusa de su autoridad al hacer insinuaciones sexuales no deseadas hacia mí, creando un ambiente de acoso y manipulación.
Faltas; Soy objeto de burlas y chistes humillantes en un grupo de chat en línea creado por otros estudiantes, lo que me hace sentir marginado y avergonzado.
Faltas;Un grupo de estudiantes difunde rumores falsos sobre mí en las redes sociales, afectando mi reputación y causándome angustia emocional.
Faltas; Me siento acosado y discriminado en el campus debido a mi orientación sexual, enfrentando constantes comentarios homofóbicos y miradas de desprecio.
Faltas;Un profesor muestra favoritismo hacia ciertos alumnos, ignorando mis esfuerzos y contribuciones en clase, lo que mina mi confianza y autoestima.
Faltas; Recibo amenazas anónimas por correo electrónico, advirtiéndome que debo abandonar la universidad si no quiero sufrir consecuencias, lo que me llena de miedo y ansiedad.
Faltas; Encuentro grafitis amenazantes dirigidos hacia mí en las paredes del campus, generando temor por mi seguridad y bienestar en la universidad.
Faltas; Me encuentro siendo objeto de constantes bromas y ridiculizaciones por parte de un grupo de compañeros de clase debido a mi religión, lo que me hace sentir marginado y humillado.
Faltas;Un profesor utiliza su posición de autoridad para hacer comentarios con connotaciones sexuales hacia mí durante las tutorías, creando un ambiente incómodo y acosador.
Faltas; Recibo mensajes de texto amenazantes de un compañero de residencia, quien me intimida y me hace sentir inseguro en mi propio espacio.
Faltas;Un miembro del personal de la universidad me hace insinuaciones sexuales no deseadas, aprovechando su posición para acosarme y manipularme.
Faltas; Soy objeto de burlas y chistes de mal gusto en un grupo de WhatsApp creado por otros estudiantes, lo que afecta mi autoestima y bienestar emocional.
Faltas;Un grupo de estudiantes difunde rumores falsos sobre mí en las redes sociales, dañando mi reputación y generando ansiedad y estrés.
Faltas; Me siento acosado y discriminado en el campus debido a mi identidad de género, enfrentando constantes comentarios transfóbicos y actitudes hostiles.
Faltas;Un profesor muestra favoritismo hacia ciertos alumnos, ignorando mis esfuerzos y contribuciones en clase, lo que me hace sentir invisible y menospreciado.
Faltas; Recibo correos electrónicos anónimos con amenazas de violencia si no cedo a las demandas de un grupo de estudiantes, lo que me llena de temor y ansiedad.
Faltas; Encuentro grafitis ofensivos dirigidos hacia mí en las paredes de la universidad, generando miedo y preocupación por mi seguridad.
Faltas; Me encuentro siendo objeto de constantes miradas de desprecio y comentarios humillantes por parte de un grupo de compañeros de clase debido a mi condición socioeconómica, lo que afecta mi autoestima y bienestar emocional.
Faltas;Un profesor me hace sentir incómodo al hacer comentarios inapropiados sobre mi vida personal durante las clases, generando un ambiente hostil y de acoso.
Faltas; Recibo mensajes intimidantes y amenazantes de un miembro del personal administrativo de la universidad, quien abusa de su autoridad para acosarme y manipularme.
Faltas;Un grupo de estudiantes crea un perfil falso en redes sociales para difamarme, compartiendo rumores falsos sobre mi comportamiento y vida privada, lo que afecta mi reputación y relaciones sociales.
Faltas; Soy objeto de burlas y chistes de mal gusto en un grupo de WhatsApp creado por otros estudiantes, lo que me hace sentir excluido y avergonzado.
Faltas;Un grupo de estudiantes organiza una campaña de desprestigio en línea en mi contra, compartiendo memes y publicaciones difamatorias en redes sociales, lo que afecta mi bienestar emocional y reputación.
Faltas; Me siento acosado y discriminado en el campus debido a mi orientación política, enfrentando constantes comentarios polarizados y actitudes hostiles por parte de mis compañeros de clase.
Faltas;Un profesor muestra favoritismo hacia ciertos alumnos, ignorando mis contribuciones académicas y desacreditando públicamente mis logros, lo que mina mi confianza y motivación.
Faltas; Recibo correos electrónicos anónimos con amenazas de violencia si no abandono mi activismo estudiantil, lo que me llena de miedo y ansiedad por mi seguridad.
Faltas; Encuentro pintadas amenazantes dirigidas hacia mí en los baños de la universidad, generando temor por mi seguridad y bienestar en el campus.
Faltas; Me encuentro siendo objeto de exclusiones y marginaciones constantes por parte de un grupo de compañeros de clase debido a mi religión, lo que afecta mi sensación de pertenencia en la universidad.
Faltas;Un profesor me hace sentir incómodo al hacer comentarios inapropiados sobre mi cuerpo durante las clases, generando un ambiente de incomodidad y acosador.
Faltas; Recibo mensajes de texto amenazantes de un compañero de residencia, quien me intimida y me hace sentir inseguro en mi propio dormitorio.
Faltas;Un miembro del personal administrativo de la universidad me acosa sexualmente, aprovechando su posición de autoridad para acosarme y manipularme.
Faltas; Soy objeto de burlas y chistes humillantes en un grupo de chat en línea creado por otros estudiantes, lo que afecta mi autoestima y bienestar emocional.
Faltas;Un grupo de estudiantes difunde rumores falsos sobre mí en las redes sociales, dañando mi reputación y generando ansiedad y estrés.
Faltas; Me siento acosado y discriminado en el campus debido a mi identidad de género, enfrentando constantes comentarios transfóbicos y actitudes hostiles.
Faltas;Un profesor muestra favoritismo hacia ciertos alumnos, ignorando mis esfuerzos y contribuciones en clase, lo que me hace sentir invisible y menospreciado.
Faltas; Recibo correos electrónicos anónimos con amenazas de violencia si no cedo a las demandas de un grupo de estudiantes, lo que me llena de temor y ansiedad.
Faltas; Encuentro grafitis ofensivos dirigidos hacia mí en las paredes de la universidad, generando miedo y preocupación por mi seguridad.
Faltas;Un estudiante me sigue constantemente por el campus y me envía mensajes no deseados a través de las redes sociales.
Faltas;Un profesor hace comentarios inapropiados sobre mi apariencia física durante las clases.
Faltas;Un grupo de compañeros de clase me ridiculiza constantemente por mi orientación sexual.
Faltas;Recibo correos electrónicos anónimos con contenido amenazante y ofensivo relacionados con mi origen étnico.
Faltas;Un miembro del personal de la universidad utiliza su posición para presionarme y exigir favores personales a cambio de buenas calificaciones.
Faltas;Encuentro grafitis ofensivos y discriminatorios dirigidos hacia mí en los baños y paredes de la universidad.
Faltas;Me siento intimidado por un grupo de estudiantes que me excluyen deliberadamente de actividades y eventos universitarios.
Faltas;Un compañero de clase difunde rumores falsos sobre mí en las redes sociales, afectando mi reputación y bienestar emocional.
Faltas;Un grupo de estudiantes realiza comentarios humillantes sobre mi discapacidad física en presencia de otros compañeros.
